day_of_year,month,day_of_week,temp_max,precipitation,precip_cat,weekend,consumption
1,1,5,32.5,0,0,0,25461
2,1,6,33.5,0,0,0,28972
3,1,7,29.9,0,0,1,30814
4,1,1,28.6,1.2,0,1,29799
5,1,2,28.3,0,0,0,28900
6,1,3,30.5,12.2,1,0,28218
7,1,4,33.7,0,0,0,29732
8,1,5,32.8,48.6,1,0,28397
9,1,6,34,4.4,0,0,24886
10,1,7,34.2,0,0,1,37937
11,1,1,34.8,3.4,0,1,36254
12,1,2,35.4,0,0,0,25743
13,1,3,34.8,0.8,0,0,26990
14,1,4,34,1.6,0,0,31825
15,1,5,32.8,3,0,0,25724
16,1,6,32.7,2,0,0,29938
17,1,7,35.8,0,0,1,37690
18,1,1,35.6,0,0,1,30524
19,1,2,36.5,3.7,0,0,29265
20,1,3,35.6,0.6,0,0,35127
21,1,4,30.9,0,0,0,29130
22,1,5,26.1,31,1,0,25795
23,1,6,26.1,3.6,0,0,21784
24,1,7,29.4,13,1,1,28348
25,1,1,30,0,0,1,31088
26,1,2,28.7,20.8,1,0,21520
27,1,3,28.7,1.2,0,0,29972
28,1,4,29.9,4.9,0,0,22603
29,1,5,29.2,0,0,0,22696
30,1,6,26.9,0,0,0,26845
31,1,7,24.3,0.2,0,1,27030
32,2,1,28,0,0,1,32057
33,2,2,26.5,4.5,0,0,24097
34,2,3,31.1,1.6,0,0,31655
35,2,4,23.7,3.2,0,0,24738
36,2,5,22.9,5.6,1,0,19950
37,2,6,25.4,18.4,1,0,22821
38,2,7,28.7,16.7,1,1,28893
39,2,1,29.5,10.4,1,1,29926
40,2,2,30.7,0,0,0,24062
41,2,3,29,32.2,1,0,21137
42,2,4,30.4,2.2,0,0,26805
43,2,5,32.7,0,0,0,26389
44,2,6,32.1,0,0,0,24219
45,2,7,31.6,0,0,1,30231
46,2,1,27.6,17.4,1,1,24968
47,2,2,27.3,22.7,1,0,25343
48,2,3,28,85.3,1,0,17399
