date,temp_min,temp_med,temp_max,precipitation,weekend,consumption
01-01-15,23.9,27.3,32.5,0,0,25461
02-01-15,24.5,27.02,33.5,0,0,28972
03-01-15,22.4,24.82,29.9,0,1,30814
04-01-15,21.5,23.98,28.6,1.2,1,29799
05-01-15,21,23.82,28.3,0,0,28900
06-01-15,20.1,23.78,30.5,12.2,0,28218
07-01-15,19.5,24,33.7,0,0,29732
08-01-15,19.5,24.9,32.8,48.6,0,28397
09-01-15,21.9,28.2,34,4.4,0,24886
10-01-15,22.1,26.76,34.2,0,1,37937
11-01-15,22.2,27.62,34.8,3.4,1,36254
12-01-15,21.4,25.96,35.4,0,0,25743
13-01-15,21.2,25.52,34.8,0.8,0,26990
14-01-15,21.3,25.96,34,1.6,0,31825
15-01-15,21.5,25.86,32.8,3,0,25724
16-01-15,22.3,26.5,32.7,2,0,29938
17-01-15,22,28.86,35.8,0,1,37690
18-01-15,23.4,28.26,35.6,0,1,30524
19-01-15,22.7,28.22,36.5,3.7,0,29265
20-01-15,23.3,27.68,35.6,0.6,0,35127
21-01-15,22.7,25.32,30.9,0,0,29130
22-01-15,19.2,21.74,26.1,31,0,25795
23-01-15,18.5,21.04,26.1,3.6,0,21784
24-01-15,19,23.12,29.4,13,1,28348
25-01-15,18.1,24.4,30,0,1,31088
26-01-15,18.9,22.4,28.7,20.8,0,21520
27-01-15,20.5,23.6,28.7,1.2,0,29972
28-01-15,20.1,25.68,29.9,4.9,0,22603
29-01-15,21.5,25,29.2,0,0,22696
30-01-15,20.9,22.8,26.9,0,0,26845
31-01-15,18.5,21.64,24.3,0.2,1,27030
01-02-15,20.6,24.16,28,0,1,32057
02-02-15,20.7,22.48,26.5,4.5,0,24097
03-02-15,18,23.16,31.1,1.6,0,31655
04-02-15,19.9,22.12,23.7,3.2,0,24738
05-02-15,19.1,20.28,22.9,5.6,0,19950
06-02-15,17.9,21.06,25.4,18.4,0,22821
07-02-15,17.3,21.86,28.7,16.7,1,28893
08-02-15,17.1,22.76,29.5,10.4,1,29926
09-02-15,19.3,24,30.7,0,0,24062
10-02-15,20.1,23.92,29,32.2,0,21137
11-02-15,19.9,25.38,30.4,2.2,0,26805
12-02-15,23.1,27.66,32.7,0,0,26389
13-02-15,22.5,25.54,32.1,0,0,24219
14-02-15,21.1,24.32,31.6,0,1,30231
15-02-15,20,22.9,27.6,17.4,1,24968
16-02-15,18.8,21.6,27.3,22.7,0,25343
17-02-15,19.7,22.76,28,85.3,0,17399
18-02-15,19.9,22.22,26.4,13.4,0,21392
19-02-15,19.9,23.92,28.5,2.4,0,22922
20-02-15,21.7,24.72,28.2,0,0,24567
21-02-15,21.4,25.2,31.1,0,1,30943
22-02-15,20.4,24.44,30.8,0,1,30825
23-02-15,20.7,25.4,31.4,0,0,25692
24-02-15,20.5,24.3,31.9,0,0,26959
25-02-15,19.3,22.24,29.3,2,0,25366
26-02-15,19.2,24.1,30.3,34.4,0,22784
27-02-15,20.4,24.64,31.4,0.6,0,26241
28-02-15,19.7,22.4,27.7,0,1,26467
01-03-15,18.2,21.26,26.3,3,1,27475
02-03-15,17.2,22.16,29.2,0,0,28749
03-03-15,19.5,23.16,29.5,0,0,24146
04-03-15,18.9,23.68,30.5,0,0,22988
05-03-15,19.7,24.42,31.6,0,0,30300
06-03-15,19.4,22.6,28.5,0,0,22654
07-03-15,19.4,21.92,26.6,38.2,1,29090
08-03-15,19.7,22.2,24.4,69.2,1,24619
